2379-6;104785;GST RBC-cCnc;MS C2 RC;60
96827-1;103543;CNS Score SOFA;Score DGAI;67
96827-1;103544;CNS Score SOFA;Score DGAI;67
96827-1;103545;CNS Score SOFA;Score DGAI;67
96827-1;103550;CNS Score SOFA;Score DGAI;67
96827-1;103551;CNS Score SOFA;Score DGAI;67
96827-1;103554;CNS Score SOFA;Score DGAI;67
96827-1;103556;CNS Score SOFA;Score DGAI;67
96827-1;103557;CNS Score SOFA;Score DGAI;67
96827-1;103558;CNS Score SOFA;Score DGAI;67
96827-1;103559;CNS Score SOFA;Score DGAI;67
96827-1;103560;CNS Score SOFA;Score DGAI;67
96827-1;103562;CNS Score SOFA;Score DGAI;67
96827-1;105222;CNS Score SOFA;Score NRS;71
96827-1;105223;CNS Score SOFA;Score BPS;71
96827-1;106651;CNS Score SOFA;Score UStix;62
96827-1;107969;CNS Score SOFA;Score Ramsay;62
96827-1;108233;CNS Score SOFA;Score Petrussa;64
96827-1;108395;CNS Score SOFA;Score FLACC;64
96827-1;108402;CNS Score SOFA;Score NPASS Schmerz;61
96827-1;108441;CNS Score SOFA;Score SOS;71
96827-1;108458;CNS Score SOFA;Score SOS;71
96827-1;108680;CNS Score SOFA;Score NACA;67
96827-1;108684;CNS Score SOFA;Score ISS;71
96827-1;110976;CNS Score SOFA;Score FOUR;67
96827-1;117221;CNS Score SOFA;Score;100
96827-1;117225;CNS Score SOFA;Score Race;67
33810-3;108157;Insulin sp11 p chal SerPl-aCnc;Insulin ja;82
33810-3;108158;Insulin sp11 p chal SerPl-aCnc;Insulin nein;74
7883-2;103158;EBV NA IgG Ser Ql;Na;100
7883-2;103190;EBV NA IgG Ser Ql;Na;100
7883-2;104882;EBV NA IgG Ser Ql;Na;100
7883-2;104898;EBV NA IgG Ser Ql;Na;100
7883-2;104923;EBV NA IgG Ser Ql;Na;100
7883-2;104938;EBV NA IgG Ser Ql;Na;100
7883-2;110787;EBV NA IgG Ser Ql;P Na;67
7883-2;110807;EBV NA IgG Ser Ql;P Na;67
50504-0;108157;Insulin sp4 SerPl-aCnc;Insulin ja;82
50504-0;108158;Insulin sp4 SerPl-aCnc;Insulin nein;74
22616-7;104238;WEEV IgM Titr Ser;MS Servoi Vee;60
33811-1;108157;Insulin sp12 p chal SerPl-aCnc;Insulin ja;82
33811-1;108158;Insulin sp12 p chal SerPl-aCnc;Insulin nein;74
9279-1;100082;Resp rate;SM-Draehte;63
9279-1;102644;Resp rate;Mess ISOUFRate;61
9279-1;103686;Resp rate;Hypothermie Coolgard Rate;62
9279-1;103694;Resp rate;Hypothermie Coolgard Doku-Rate;62
9279-1;104889;Resp rate;IsoUF Rate;63
9279-1;105014;Resp rate;Osypka101H Rate;62
9279-1;105019;Resp rate;Rate;100
9279-1;110797;Resp rate;P IsoUFRate;60
9279-1;117225;Resp rate;Score Race;63
32163-8;108738;Cells # Prt Manual;P Celestangabe;60
11139-3;104187;Metaneph Ur-mCnc;MS Zephyros Pmean;61
2752-4;101443;pH Smn;Pmin;60
2752-4;102408;pH Smn;p-SV;60
30053-3;104986;Leucine/Creat Ur-Rto;CRRT Doku CitratLoesung;60
42208-9;108718;IgM CSF/SerPl;P CSF MS ICP;64
50794-7;104939;OF start NFr RBC;Start Na;77
39485-8;103888;pH temp adj BldC;Doku Temp;62
39485-8;105049;pH temp adj BldC;CRRT Temp;62
39485-8;105050;pH temp adj BldC;CRRT Temp;62
56946-7;108157;Insulin 2D p chal SerPl-aCnc;Insulin ja;82
56946-7;108158;Insulin 2D p chal SerPl-aCnc;Insulin nein;74
29527-9;104969;Citrate/Creat Ur-sRto;CRRT MS Citratfluss;60
29527-9;104975;Citrate/Creat Ur-sRto;CRRT CitratBlut;61
29527-9;104986;Citrate/Creat Ur-sRto;CRRT Doku CitratLoesung;64
29527-9;104996;Citrate/Creat Ur-sRto;CRRT CitratBlut;61
29527-9;105007;Citrate/Creat Ur-sRto;CRRT CitratLoesung;62
40230-5;102721;Calcium 1.5h p chal SerPl-sCnc;Calcium;100
40230-5;102743;Calcium 1.5h p chal SerPl-sCnc;Calcium;100
40230-5;103054;Calcium 1.5h p chal SerPl-sCnc;Calcium;100
40230-5;107934;Calcium 1.5h p chal SerPl-sCnc;P ADS MS ADS Calcium postFilter;60
2965-2;102906;Sp Gr Ur;MS G5 R;67
2965-2;102909;Sp Gr Ur;MS G5 RC;62
51641-9;101627;MSCV RBC;Proc AMV;62
51641-9;102909;MSCV RBC;MS G5 RC;62
51641-9;104785;MSCV RBC;MS C2 RC;62
27882-0;108158;Proinsulin SerPl-sCnc;Insulin nein;61
48766-0;102803;Source of info;Score MOF;61
48766-0;102808;Source of info;Score NORTON;62
2705-2;117154;pO2 BldV;SpO2 l;71
47720-8;103888;pH temp adj BldCo;Doku Temp;62
47720-8;105049;pH temp adj BldCo;CRRT Temp;62
47720-8;105050;pH temp adj BldCo;CRRT Temp;62
47720-8;110754;pH temp adj BldCo;P Doku Temp;64
38436-2;108014;CC Spec #/mass VC;P MS C3 VTE;62
38436-2;108015;CC Spec #/mass VC;P MS C3 VTi;62
38436-2;108020;CC Spec #/mass VC;P MS C3 VCO2;67
38436-2;108034;CC Spec #/mass VC;P MS C3 RC;64
29605-3;103258;Appearance Snv;ApneaRate;61
30083-0;103158;EBV NA IgG Ser IA-aCnc;Na;100
30083-0;103190;EBV NA IgG Ser IA-aCnc;Na;100
30083-0;104882;EBV NA IgG Ser IA-aCnc;Na;100
30083-0;104898;EBV NA IgG Ser IA-aCnc;Na;100
30083-0;104923;EBV NA IgG Ser IA-aCnc;Na;100
30083-0;104938;EBV NA IgG Ser IA-aCnc;Na;100
30083-0;110787;EBV NA IgG Ser IA-aCnc;P Na;67
30083-0;110807;EBV NA IgG Ser IA-aCnc;P Na;67
34231-1;102786;Aldost/Creat Ur-sRto;Score Aldrete;61
22607-6;104238;VEEV Ab Titr Ser;MS Servoi Vee;62
4659-9;100091;LAP WBC-cCnc;LAP;100
9327-8;102883;PS IgM Ser Ql IA;PS;100
9327-8;104717;PS IgM Ser Ql IA;PS;100
14196-0;102046;Retics #;ETVI;60
14196-0;102657;Retics #;ETS;67
14196-0;102815;Retics #;Score VICS;62
14196-0;103081;Retics #;ETS;67
14196-0;107828;Retics #;IRec;60
14196-0;107830;Retics #;PRec;60
53576-5;113045;PH monitoring report Doc;P EEG Monitoring;77
70264-7;113047;Creat Plr/Ser;CRRT praeF;61
70264-7;113048;Creat Plr/Ser;CRRT praeF;61
49765-1;102721;Calcium Bld-mCnc;Calcium;100
49765-1;102743;Calcium Bld-mCnc;Calcium;100
49765-1;103054;Calcium Bld-mCnc;Calcium;100
49765-1;107934;Calcium Bld-mCnc;P ADS MS ADS Calcium postFilter;61
49765-1;107935;Calcium Bld-mCnc;P ADS MS ADS Calcium preFilter;61
18970-4;102885;Pip+Tazo Susc Islt;MS PIP;67
18970-4;103422;Pip+Tazo Susc Islt;MS PIP;67
29463-7;6;Weight;Gewicht;62
29463-7;117218;Weight;G5 Body Weight;100
42512-4;108243;IgE Ur-aCnc;Geburt an;70
11502-2;100;Laboratory report;Laborwert;62
60024-7;108720;LDH CSF L to P-cCnc;P CSF Doku;67
60590-7;105241;Medication dispensed.brief Doc;F MedDoku Vormedikation;60
35004-1;102408;Polys # Snv;p-SV;62
14650-6;105025;Citrate 24h Ur-sRate;Highrate StimRate;65
31409-6;104236;SNV IgM Ser-aCnc;MS Servoi Cdyn;60
24518-3;102721;Calcium/Creat Ur-sRto;Calcium;100
24518-3;102743;Calcium/Creat Ur-sRto;Calcium;100
24518-3;103054;Calcium/Creat Ur-sRto;Calcium;100
24518-3;104962;Calcium/Creat Ur-sRto;CRRT MS CalciumVolKum;62
24518-3;104968;Calcium/Creat Ur-sRto;CRRT MS Calciumfluss;63
24518-3;104974;Calcium/Creat Ur-sRto;CRRT CalciumFiltrat;65
24518-3;104985;Calcium/Creat Ur-sRto;CRRT Doku CalciumLoesung;62
24518-3;104995;Calcium/Creat Ur-sRto;CRRT CalciumFiltrat;65
24518-3;105006;Calcium/Creat Ur-sRto;CRRT CalciumLoesung;60
24518-3;107935;Calcium/Creat Ur-sRto;P ADS MS ADS Calcium preFilter;60
412-7;102885;Pip+Tazo Islt MIC;MS PIP;67
412-7;103422;Pip+Tazo Islt MIC;MS PIP;67
2190-7;103431;DHEA-S Amn-mCnc;MS Mande;61
10737-5;103819;Virus Stl EM;NIRS MS;63
9780-8;108506;Sperm # Smn;P NBP reArm;60
5156-5;103158;EBV NA IgG Ser Ql IA;Na;100
5156-5;103190;EBV NA IgG Ser Ql IA;Na;100
5156-5;104882;EBV NA IgG Ser Ql IA;Na;100
5156-5;104898;EBV NA IgG Ser Ql IA;Na;100
5156-5;104923;EBV NA IgG Ser Ql IA;Na;100
5156-5;104938;EBV NA IgG Ser Ql IA;Na;100
5156-5;110787;EBV NA IgG Ser Ql IA;P Na;67
5156-5;110807;EBV NA IgG Ser Ql IA;P Na;67
9271-8;101973;10M Apgar Score;Score SAPS2;62
9271-8;101992;10M Apgar Score;Score SOFA;67
9271-8;102764;10M Apgar Score;Score ARDS;67
9271-8;102784;10M Apgar Score;Score RASS;67
9271-8;102785;10M Apgar Score;Score AIS;71
9271-8;102787;10M Apgar Score;Score APACHE2;64
9271-8;102788;10M Apgar Score;Score Apgar;100
9271-8;102791;10M Apgar Score;Score BPS;71
9271-8;102792;10M Apgar Score;Score CIWA;67
9271-8;102795;10M Apgar Score;Score CRIB;67
9271-8;102796;10M Apgar Score;Score DRS;71
9271-8;102798;10M Apgar Score;Score GDS;71
9271-8;102800;10M Apgar Score;Score Kuss;67
9271-8;102801;10M Apgar Score;Score MAAS;72
9271-8;102802;10M Apgar Score;Score MMS;71
9271-8;102803;10M Apgar Score;Score MOF;71
9271-8;102804;10M Apgar Score;Score mRS;71
9271-8;102806;10M Apgar Score;Score NIHSS;62
9271-8;102807;10M Apgar Score;Score NIPS;67
9271-8;102810;10M Apgar Score;Score RSS;71
9271-8;102811;10M Apgar Score;Score RTS;71
9271-8;102812;10M Apgar Score;Score SAS;71
9271-8;102813;10M Apgar Score;Score Lachs;62
9271-8;102815;10M Apgar Score;Score VICS;67
9271-8;103444;10M Apgar Score;Score DGAI;67
9271-8;103458;10M Apgar Score;Score DGAI;67
9271-8;103506;10M Apgar Score;Score DGAI;67
9271-8;103507;10M Apgar Score;Score DGAI;67
9271-8;103509;10M Apgar Score;Score DGAI;67
9271-8;103510;10M Apgar Score;Score DGAI;67
9271-8;103511;10M Apgar Score;Score DGAI;67
9271-8;103512;10M Apgar Score;Score DGAI;67
9271-8;103518;10M Apgar Score;Score DGAI;67
9271-8;103523;10M Apgar Score;Score DGAI;67
9271-8;103527;10M Apgar Score;Score DGAI;67
9271-8;103536;10M Apgar Score;Score DGAI;67
9271-8;103538;10M Apgar Score;Score DGAI;67
9271-8;103540;10M Apgar Score;Score DGAI;67
9271-8;103543;10M Apgar Score;Score DGAI;67
9271-8;103544;10M Apgar Score;Score DGAI;67
9271-8;103545;10M Apgar Score;Score DGAI;67
9271-8;103550;10M Apgar Score;Score DGAI;67
9271-8;103551;10M Apgar Score;Score DGAI;67
9271-8;103554;10M Apgar Score;Score DGAI;67
9271-8;103556;10M Apgar Score;Score DGAI;67
9271-8;103557;10M Apgar Score;Score DGAI;67
9271-8;103558;10M Apgar Score;Score DGAI;67
9271-8;103559;10M Apgar Score;Score DGAI;67
9271-8;103560;10M Apgar Score;Score DGAI;67
9271-8;103562;10M Apgar Score;Score DGAI;67
9271-8;105222;10M Apgar Score;Score NRS;71
9271-8;105223;10M Apgar Score;Score BPS;71
9271-8;106651;10M Apgar Score;Score UStix;62
9271-8;108395;10M Apgar Score;Score FLACC;62
9271-8;108441;10M Apgar Score;Score SOS;71
9271-8;108458;10M Apgar Score;Score SOS;71
9271-8;108680;10M Apgar Score;Score NACA;67
9271-8;108684;10M Apgar Score;Score ISS;71
9271-8;110976;10M Apgar Score;Score FOUR;67
9271-8;117221;10M Apgar Score;Score;100
9271-8;117225;10M Apgar Score;Score Race;67
25495-3;104108;Phe 24h Ur-sRate;Temperatur 2a;62
25495-3;104109;Phe 24h Ur-sRate;Temperatur 2b;62
19840-8;107842;Breaths.spont+mech on vent;MS Spont;77
32162-0;108738;Cells # Plr Manual;P Celestangabe;60
40619-9;103888;pCO2 temp adj BldV;Doku Temp;62
40619-9;105049;pCO2 temp adj BldV;CRRT Temp;62
40619-9;105050;pCO2 temp adj BldV;CRRT Temp;62
27875-4;108157;Insulin sp6 p chal SerPl-aCnc;Insulin ja;82
27875-4;108158;Insulin sp6 p chal SerPl-aCnc;Insulin nein;74
10333-3;103258;Appearance CSF;ApneaRate;61
5278-7;107935;P falciparum Ab Ser-aCnc;P ADS MS ADS Calcium preFilter;60
7884-0;103158;EBV NA IgM Ser Ql;Na;100
7884-0;103190;EBV NA IgM Ser Ql;Na;100
7884-0;104882;EBV NA IgM Ser Ql;Na;100
7884-0;104898;EBV NA IgM Ser Ql;Na;100
7884-0;104923;EBV NA IgM Ser Ql;Na;100
7884-0;104938;EBV NA IgM Ser Ql;Na;100
7884-0;110787;EBV NA IgM Ser Ql;P Na;67
7884-0;110807;EBV NA IgM Ser Ql;P Na;67
47663-0;108157;Insulin 30M p Glc SerPl-aCnc;Insulin ja;82
47663-0;108158;Insulin 30M p Glc SerPl-aCnc;Insulin nein;74
19256-7;103888;pO2 temp adj BldC;Doku Temp;62
19256-7;105049;pO2 temp adj BldC;CRRT Temp;62
19256-7;105050;pO2 temp adj BldC;CRRT Temp;62
56533-3;108157;Insulin IgG Ser-aCnc;Insulin ja;82
56533-3;108158;Insulin IgG Ser-aCnc;Insulin nein;74
33331-0;104232;WNV IgM Titr Ser;MS Servoi WOBv;60
16713-0;105080;CMV Ab CSF-aCnc;C2 F CMV;61
32112-5;110752;Sertraline Ur Ql;P Strahler;62
25686-7;108157;Insulin sp11 p chal SerPl-sCnc;Insulin ja;82
25686-7;108158;Insulin sp11 p chal SerPl-sCnc;Insulin nein;74
11087-4;108157;Insulin Ab Titr Ser;Insulin ja;82
11087-4;108158;Insulin Ab Titr Ser;Insulin nein;74
56546-5;108157;Insulin Ab Ser IA-aCnc;Insulin ja;82
56546-5;108158;Insulin Ab Ser IA-aCnc;Insulin nein;74
12739-9;108157;Insulin sp2 p chal SerPl-mCnc;Insulin ja;82
12739-9;108158;Insulin sp2 p chal SerPl-mCnc;Insulin nein;74
43579-2;107985;C3 Plr-mCnc;P C3;67
43579-2;107992;C3 Plr-mCnc;P C3;67
43579-2;108010;C3 Plr-mCnc;P C3;67
43579-2;108028;C3 Plr-mCnc;P MS C3;67
43579-2;108031;C3 Plr-mCnc;P MS C3;67
43579-2;108034;C3 Plr-mCnc;P MS C3 RC;67
43579-2;108039;C3 Plr-mCnc;P MS C3 RSB;64
43579-2;110828;C3 Plr-mCnc;P C3;67
43579-2;110831;C3 Plr-mCnc;P C3;67
19817-6;100008;Complications;Vormedikation;62
19817-6;101433;Complications;Compliance;70
19817-6;103289;Complications;MS Compliance;69
19817-6;103329;Complications;MS Compliance;69
19817-6;106597;Complications;Vormedikation;62
31372-6;103158;EBV NA Ab Ser-aCnc;Na;100
31372-6;103190;EBV NA Ab Ser-aCnc;Na;100
31372-6;104882;EBV NA Ab Ser-aCnc;Na;100
31372-6;104898;EBV NA Ab Ser-aCnc;Na;100
31372-6;104923;EBV NA Ab Ser-aCnc;Na;100
31372-6;104938;EBV NA Ab Ser-aCnc;Na;100
31372-6;110787;EBV NA Ab Ser-aCnc;P Na;67
31372-6;110807;EBV NA Ab Ser-aCnc;P Na;67
40290-9;108157;Insulin 1.5h p chal SerPl-sCnc;Insulin ja;82
40290-9;108158;Insulin 1.5h p chal SerPl-sCnc;Insulin nein;74
56483-1;110890;PBG Stl-mCnt;P C3 SHT;60
32032-5;102883;PS IgG Ser IA-aCnc;PS;100
32032-5;104717;PS IgG Ser IA-aCnc;PS;100
5249-8;104245;MuV Ab Titr Ser CF;MS Servoi AF;60
5249-8;104246;MuV Ab Titr Ser CF;MS Servoi Af;60
12587-2;103265;Creat 6h Ur-mRate;MS BreathRate;60
12587-2;104973;Creat 6h Ur-mRate;CRRT Temperatur;62
12587-2;104994;Creat 6h Ur-mRate;CRRT Temperatur;62
12587-2;110930;Creat 6h Ur-mRate;P Temperatur Rektal;61
2482-8;108157;Insulin Ab Ser-mCnc;Insulin ja;82
2482-8;108158;Insulin Ab Ser-mCnc;Insulin nein;74
14873-4;102040;pH BldCo;p-CO;67
6605-0;100077;L inter Ag Tiss Ql IF;SM AV Intervall;61
8330-3;103888;Bdy temp IV;Doku Temp;62
8330-3;105049;Bdy temp IV;CRRT Temp;62
8330-3;105050;Bdy temp IV;CRRT Temp;62
8330-3;110754;Bdy temp IV;P Doku Temp;64
38253-1;101423;CO2 Spec-sCnc;CO2;100
38253-1;101434;CO2 Spec-sCnc;CO2;100
38253-1;108724;CO2 Spec-sCnc;P MS etCo2;61
20657-3;104273;Taurine SerPl-sCnc;Servoi Tpause s;61
46417-2;100203;PT BldC;PT;100
46417-2;100676;PT BldC;PT;100
46417-2;107976;PT BldC;P C3 Body Wt;63
29953-7;104939;ANA Titr Ser;Start Na;60
11556-8;108509;pO2 Bld;SpO2 2;62
11556-8;117154;pO2 Bld;SpO2 l;77
26801-1;104107;Prot 12h Ur-mRate;Temperatur 1a;60
26801-1;104108;Prot 12h Ur-mRate;Temperatur 2a;60
26801-1;104109;Prot 12h Ur-mRate;Temperatur 2b;60
26801-1;104110;Prot 12h Ur-mRate;Temperatur 1b;60
17464-9;108626;Pigeon Feather IgE Ql;P Lifetherm Neigung;60
52760-6;100203;PT PIVKA sensitive Act/Nor BldC;PT;100
52760-6;100676;PT PIVKA sensitive Act/Nor BldC;PT;100
4121-0;103264;Amobarbital Dose;MS AMotal;64
12741-5;108157;Insulin sp4 p chal SerPl-mCnc;Insulin ja;82
12741-5;108158;Insulin sp4 p chal SerPl-mCnc;Insulin nein;74
8072-1;108157;Insulin Ab Ser-aCnc;Insulin ja;82
8072-1;108158;Insulin Ab Ser-aCnc;Insulin nein;74
44760-7;101609;MELD score;Score Braden;67
44760-7;101947;MELD score;Score TISS28;67
44760-7;101973;MELD score;Score SAPS2;67
44760-7;101992;MELD score;Score SOFA;67
44760-7;102764;MELD score;Score ARDS;70
44760-7;102771;MELD score;Score TISS10;67
44760-7;102784;MELD score;Score RASS;67
44760-7;102785;MELD score;Score AIS;71
44760-7;102786;MELD score;Score Aldrete;70
44760-7;102787;MELD score;Score APACHE2;67
44760-7;102788;MELD score;Score Apgar;67
44760-7;102789;MELD score;Score BernerSchmerzscore;67
44760-7;102790;MELD score;Score Besinger;67
44760-7;102791;MELD score;Score BPS;71
44760-7;102792;MELD score;Score CIWA;67
44760-7;102793;MELD score;Score Cleveland;72
44760-7;102794;MELD score;Score ComfortSkala;67
44760-7;102795;MELD score;Score CRIB;67
44760-7;102796;MELD score;Score DRS;74
44760-7;102797;MELD score;Score Dubois;67
44760-7;102798;MELD score;Score GDS;74
44760-7;102799;MELD score;Score KarnofskyIndex;67
44760-7;102800;MELD score;Score Kuss;67
44760-7;102801;MELD score;Score MAAS;70
44760-7;102802;MELD score;Score MMS;74
44760-7;102803;MELD score;Score MOF;74
44760-7;102804;MELD score;Score mRS;74
44760-7;102805;MELD score;Score MukositisSkala;67
44760-7;102806;MELD score;Score NIHSS;67
44760-7;102807;MELD score;Score NIPS;67
44760-7;102808;MELD score;Score NORTON;67
44760-7;102810;MELD score;Score RSS;71
44760-7;102811;MELD score;Score RTS;71
44760-7;102812;MELD score;Score SAS;71
44760-7;102813;MELD score;Score Lachs;67
44760-7;102815;MELD score;Score VICS;67
44760-7;102816;MELD score;Score Waterlow;67
44760-7;102832;MELD score;Score Barthel;70
44760-7;102848;MELD score;Score Braden;67
44760-7;103444;MELD score;Score DGAI;70
44760-7;103458;MELD score;Score DGAI;70
44760-7;103462;MELD score;Score DGAI EntlDatum;67
44760-7;103463;MELD score;Score DGAI EntlZeit;67
44760-7;103464;MELD score;Score DGAI EntlArzt;67
44760-7;103492;MELD score;Score DGAI EntlPostVisiteDatum;67
44760-7;103504;MELD score;Score DGAI AufnChronischeAS;67
44760-7;103506;MELD score;Score DGAI;70
44760-7;103507;MELD score;Score DGAI;70
44760-7;103508;MELD score;Score DGAI AufnIndikationsfall;67
44760-7;103509;MELD score;Score DGAI;70
44760-7;103510;MELD score;Score DGAI;70
44760-7;103511;MELD score;Score DGAI;70
44760-7;103512;MELD score;Score DGAI;70
44760-7;103513;MELD score;Score DGAI AufnNachOperation;67
44760-7;103514;MELD score;Score DGAI AufnTraumaPolytrauma;67
44760-7;103515;MELD score;Score DGAI AufnVonExterne;67
44760-7;103516;MELD score;Score DGAI AufnVonNotaufnahmeNAW;67
44760-7;103517;MELD score;Score DGAI AufnVonOPAWR;67
44760-7;103518;MELD score;Score DGAI;70
44760-7;103519;MELD score;Score DGAI AufnWiederaufnahmeGroesser48h;67
44760-7;103520;MELD score;Score DGAI AufnWiederaufnahmeKleiner48h;67
44760-7;103521;MELD score;Score DGAI EntlInfoANV;67
44760-7;103522;MELD score;Score DGAI EntlInfoARDSALI;67
44760-7;103523;MELD score;Score DGAI;70
44760-7;103524;MELD score;Score DGAI EntlInfoECMOILA;67
44760-7;103525;MELD score;Score DGAI EntlInfoBL;67
44760-7;103526;MELD score;Score DGAI EntlInfoHFOV;67
44760-7;103527;MELD score;Score DGAI;70
44760-7;103528;MELD score;Score DGAI EntlInfoMODMOV;67
44760-7;103529;MELD score;Score DGAI EntlInfoMRSA;67
44760-7;103530;MELD score;Score DGAI EntlInfoNET;67
44760-7;103531;MELD score;Score DGAI EntlInfoObduktionDurchgefuehrt;67
44760-7;103532;MELD score;Score DGAI EntlInfoPolytrauma;67
44760-7;103533;MELD score;Score DGAI EntlInfoSepsis;67
44760-7;103534;MELD score;Score DGAI EntlInfoTherapieMinima;67
44760-7;103535;MELD score;Score DGAI EntlInfoVRE;67
44760-7;103536;MELD score;Score DGAI;70
44760-7;103537;MELD score;Score DGAI EntlNachExterneNormalklinik;67
44760-7;103538;MELD score;Score DGAI;70
44760-7;103539;MELD score;Score DGAI EntlNachHause;67
44760-7;103540;MELD score;Score DGAI;70
44760-7;103541;MELD score;Score DGAI EntlNachNormalstation;67
44760-7;103542;MELD score;Score DGAI EntlNachWachstation;67
44760-7;103543;MELD score;Score DGAI;70
44760-7;103544;MELD score;Score DGAI;70
44760-7;103545;MELD score;Score DGAI;70
44760-7;103546;MELD score;Score DGAI EntlPostVisiteDurchgefuehrt;67
44760-7;103547;MELD score;Score DGAI EntlPostVisiteRestitutioAdIntegrum;67
44760-7;103548;MELD score;Score DGAI EntlZustandExitus;67
44760-7;103549;MELD score;Score DGAI EntlZustandGeringBeeintraechtigungDauer;67
44760-7;103550;MELD score;Score DGAI;70
44760-7;103551;MELD score;Score DGAI;70
44760-7;103552;MELD score;Score DGAI EntlZustandUeberlebenErheblicherDefekt;67
44760-7;103553;MELD score;Score DGAI AufnGeplantChirurgisch;67
44760-7;103554;MELD score;Score DGAI;70
44760-7;103555;MELD score;Score DGAI AufnMedizinisch;67
44760-7;103556;MELD score;Score DGAI;70
44760-7;103557;MELD score;Score DGAI;70
44760-7;103558;MELD score;Score DGAI;70
44760-7;103559;MELD score;Score DGAI;70
44760-7;103560;MELD score;Score DGAI;70
44760-7;103561;MELD score;Score DGAI AufnBeatmet;67
44760-7;103562;MELD score;Score DGAI;70
44760-7;104289;MELD score;Score CAM ICU Punktwert Gesamt;67
44760-7;105222;MELD score;Score NRS;71
44760-7;105223;MELD score;Score BPS;71
44760-7;106651;MELD score;Score UStix;67
44760-7;107969;MELD score;Score Ramsay;67
44760-7;108233;MELD score;Score Petrussa;67
44760-7;108377;MELD score;Score BradenQ;67
44760-7;108395;MELD score;Score FLACC;67
44760-7;108402;MELD score;Score NPASS Schmerz;67
44760-7;108410;MELD score;Score NPASS Sedierung;67
44760-7;108424;MELD score;Score PRISMIII;67
44760-7;108441;MELD score;Score SOS;71
44760-7;108458;MELD score;Score SOS;71
44760-7;108483;MELD score;Score Thompson;67
44760-7;108484;MELD score;Score Finnigan;67
44760-7;108641;MELD score;Score Finnegan;67
44760-7;108680;MELD score;Score NACA;67
44760-7;108684;MELD score;Score ISS;71
44760-7;109749;MELD score;Score ComfortB beatmet Skala;67
44760-7;110743;MELD score;Score ComfortB an Skala;67
44760-7;110976;MELD score;Score FOUR;67
44760-7;117126;MELD score;Score CAM ICU Punktwert GesamtAktualisierung2020;67
44760-7;117221;MELD score;Score;100
44760-7;117225;MELD score;Score Race;70
10335-8;101992;Color CSF;Score SOFA;63
10335-8;102815;Color CSF;Score VICS;63
3151-8;100104;Inhaled O2 flow rate;Flow;100
3151-8;100113;Inhaled O2 flow rate;Flow;100
3151-8;100273;Inhaled O2 flow rate;Flow;100
3151-8;100807;Inhaled O2 flow rate;O2;100
3151-8;101620;Inhaled O2 flow rate;Flow;100
3151-8;101624;Inhaled O2 flow rate;O2;100
3151-8;101630;Inhaled O2 flow rate;Proc Flow;62
3151-8;102198;Inhaled O2 flow rate;O2;100
3151-8;103087;Inhaled O2 flow rate;F120 Flow;62
3151-8;105019;Inhaled O2 flow rate;Rate;100
3151-8;107821;Inhaled O2 flow rate;Flow;100
3151-8;107998;Inhaled O2 flow rate;P C3 Flow;62
3151-8;108525;Inhaled O2 flow rate;G5 Flow;73
3151-8;108729;Inhaled O2 flow rate;P MS Flow;62
3151-8;113046;Inhaled O2 flow rate;T1 Flow;73
31871-7;100077;L inter Ag Spec Ql;SM AV Intervall;67
96962-6;100203;B pert.PT Prmt Lower resp Ql NAA+probe;PT;100
96962-6;100676;B pert.PT Prmt Lower resp Ql NAA+probe;PT;100
50018-1;105083;CMV IgG Fld Ql;G5 F CMV;64
19254-2;103888;pO2 temp adj Bld;Doku Temp;62
19254-2;105049;pO2 temp adj Bld;CRRT Temp;62
19254-2;105050;pO2 temp adj Bld;CRRT Temp;62
1714-5;103292;PACP Ser-cCnc;MS CPAP;60
2162-6;104973;Creat 24h Ur-mRate;CRRT Temperatur;61
2162-6;104994;Creat 24h Ur-mRate;CRRT Temperatur;61
34105-7;107989;Hosp D/C sum;P C3 F SIMV;61
29528-7;103265;Hippurate/Creat Ur-sRto;MS BreathRate;61
2750-8;108636;pH Plr;P Power;62
14622-5;104236;Vit C SerPl-sCnc;MS Servoi Cdyn;60
14622-5;104247;Vit C SerPl-sCnc;MS Servoi CPAP;60
5901-4;100203;PT Cont PPP;PT;100
5901-4;100676;PT Cont PPP;PT;100
5734-9;108000;Silver SerPl-mCnc;P C3 passiver;60
83085-1;110915;CEA SerPl IA-mCnc;MS Servoi I E;60
14415-4;102721;Calcium Amn-sCnc;Calcium;100
14415-4;102743;Calcium Amn-sCnc;Calcium;100
14415-4;102749;Calcium Amn-sCnc;CalciumLoesung;60
14415-4;102763;Calcium Amn-sCnc;CalciumLoesung;60
14415-4;103054;Calcium Amn-sCnc;Calcium;100
14415-4;107934;Calcium Amn-sCnc;P ADS MS ADS Calcium postFilter;61
14415-4;107935;Calcium Amn-sCnc;P ADS MS ADS Calcium preFilter;61
14415-4;107956;Calcium Amn-sCnc;P ADS CalciumLoesung;61
20564-1;1273;SaO2 % Bld;SaO2;100
20564-1;117154;SaO2 % Bld;SpO2 l;71
23546-5;104238;VEEV IgM Ser Ql;MS Servoi Vee;64
50503-2;108157;Insulin sp3 SerPl-aCnc;Insulin ja;82
50503-2;108158;Insulin sp3 SerPl-aCnc;Insulin nein;74
11211-0;101423;CO2 Fld-sCnc;CO2;100
11211-0;101434;CO2 Fld-sCnc;CO2;100
20565-8;101423;CO2 Bld-sCnc;CO2;100
