96766-1;117164;GISAID sequence accession-Nummer;P Doku nummer;63
5724-0;104834;Selen Serum Plasma;Apherese Plasma;67
5724-0;104846;Selen Serum Plasma;Apherese Plasma;67
1994-3;102721;Calcium.ionisiert Blut;Calcium;100
1994-3;102743;Calcium.ionisiert Blut;Calcium;100
1994-3;103054;Calcium.ionisiert Blut;Calcium;100
27955-4;108510;Lactat Blut Stunden Stimulation;Atmung Stimulation;76
298-0;107861;Lincomycin minimaler letaler Konzentration (MLK);O2 Konzentration;90
298-0;107864;Lincomycin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
298-0;107867;Lincomycin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
14622-5;104833;Ascorbat Serum Plasma;Apherese Plasma;61
14622-5;104834;Ascorbat Serum Plasma;Apherese Plasma;61
14622-5;104846;Ascorbat Serum Plasma;Apherese Plasma;61
4671-4;104032;ProteinPlasma;MS HorowitzINPULS;60
4671-4;104833;ProteinPlasma;Apherese Plasma;64
4671-4;104834;ProteinPlasma;Apherese Plasma;64
4671-4;104846;ProteinPlasma;Apherese Plasma;64
29655-8;104833;Oxazepam Serum Plasma;Apherese Plasma;61
29655-8;104834;Oxazepam Serum Plasma;Apherese Plasma;61
29655-8;104846;Oxazepam Serum Plasma;Apherese Plasma;61
2005-7;102721;Calcium -Stunden-Urin -- Stunden Nahrungskarenz;Calcium;100
2005-7;102743;Calcium -Stunden-Urin -- Stunden Nahrungskarenz;Calcium;100
2005-7;103054;Calcium -Stunden-Urin -- Stunden Nahrungskarenz;Calcium;100
2001-6;102721;Calcium -Stunden-Stuhl;Calcium;100
2001-6;102743;Calcium -Stunden-Stuhl;Calcium;100
2001-6;102749;Calcium -Stunden-Stuhl;CalciumLoesung;63
2001-6;102763;Calcium -Stunden-Stuhl;CalciumLoesung;63
2001-6;103054;Calcium -Stunden-Stuhl;Calcium;100
11566-7;102139;Leber-Nieren-Mikrosomen Antikörper Serum;Abdomen Nieren;60
12557-5;108510;Cortisol Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
9580-2;108675;Thyroxin (T4) Antikörper Serum;P Antikoerper Mutter;60
25577-8;108510;C-Peptid Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
15051-6;102755;Creatinin Dialysat;Dialysat;100
15051-6;103043;Creatinin Dialysat;Dialysat;100
15051-6;103045;Creatinin Dialysat;BM25 Dialysat;76
15051-6;103123;Creatinin Dialysat;Dialysat;100
15051-6;103124;Creatinin Dialysat;BM25 Dialysat;76
15051-6;104966;Creatinin Dialysat;CRRT MS DialysatvolKum;60
15051-6;104978;Creatinin Dialysat;CRRT Dialysat;77
15051-6;104999;Creatinin Dialysat;CRRT Dialysat;77
15051-6;105009;Creatinin Dialysat;CRRT Dialysatloesung;63
15051-6;106396;Creatinin Dialysat;CRRT MS DialysatvolKum;60
15051-6;107787;Creatinin Dialysat;Doku Aussehen Dialysat;62
9279-1;100078;Atemfrequenz;SM Frequenz;70
9279-1;100099;Atemfrequenz;Frequenz;80
9279-1;100132;Atemfrequenz;Atemwege;60
9279-1;100250;Atemfrequenz;FrequenzHFOV;67
9279-1;100253;Atemfrequenz;IMVFrequenz;78
9279-1;100259;Atemfrequenz;IPPVFrequenz;67
9279-1;100288;Atemfrequenz;IMVFrequenz;78
9279-1;100293;Atemfrequenz;IPPVFrequenz;67
9279-1;100813;Atemfrequenz;Atemform;60
9279-1;102121;Atemfrequenz;IABP Frequenz;64
9279-1;102156;Atemfrequenz;Atemform;60
9279-1;102617;Atemfrequenz;FrequenzHFOV;67
9279-1;102872;Atemfrequenz;Oszillationsfrequenz;62
9279-1;102938;Atemfrequenz;G5 Frequenz;70
9279-1;103210;Atemfrequenz;Frequenz;80
9279-1;103257;Atemfrequenz;Frequenz;80
9279-1;103269;Atemfrequenz;Frequenz;80
9279-1;103274;Atemfrequenz;Frequenzimv;70
9279-1;103287;Atemfrequenz;MS frequenz;70
9279-1;103298;Atemfrequenz;frequenz;80
9279-1;103323;Atemfrequenz;MS frequenz;70
9279-1;103380;Atemfrequenz;Eins RAPFrequenz;64
9279-1;103381;Atemfrequenz;Eins Frequenz;72
9279-1;103386;Atemfrequenz;Frequenz;80
9279-1;103389;Atemfrequenz;Basisfrequenz;72
9279-1;103390;Atemfrequenz;FrequenzMax;70
9279-1;103399;Atemfrequenz;Defi Frequenz;72
9279-1;103407;Atemfrequenz;Frequenz;80
9279-1;103430;Atemfrequenz;MS Frequenz;70
9279-1;103718;Atemfrequenz;IABP IABPFrequenz;62
9279-1;104354;Atemfrequenz;IABP IABP Frequenz;64
9279-1;104718;Atemfrequenz;Frequenz;80
9279-1;104727;Atemfrequenz;MS Frequenz;70
9279-1;104748;Atemfrequenz;Frequenz Min;67
9279-1;104753;Atemfrequenz;G5 Frequenz;70
9279-1;104783;Atemfrequenz;C2 Frequenz;70
9279-1;106282;Atemfrequenz;C2 Frequenz;70
9279-1;107818;Atemfrequenz;Frequenz;80
9279-1;107824;Atemfrequenz;HFFrequenz;73
9279-1;107829;Atemfrequenz;Frequenz Rec;67
9279-1;107837;Atemfrequenz;MS Frequenz;70
9279-1;108008;Atemfrequenz;P C3 Frequenz;64
9279-1;110834;Atemfrequenz;P Frequenz;73
9279-1;110863;Atemfrequenz;P RTX Frequenz;62
9279-1;110870;Atemfrequenz;T1 Frequenz;70
51732-6;100808;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Kapillarblut;Sauerstoff;100
51732-6;101481;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Kapillarblut;Sauerstoff;100
51732-6;102942;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Kapillarblut;G5 Sauerstoff;87
51732-6;104804;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Kapillarblut;MS C2 Sauerstoff;77
51732-6;104808;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Kapillarblut;C2 Sauerstoff;87
51732-6;106641;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Kapillarblut;T1 Sauerstoff;87
51732-6;107811;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Kapillarblut;Sauerstoff;100
51732-6;107980;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Kapillarblut;P C3 Sauerstoff;80
51732-6;108012;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Kapillarblut;P MS C3 Sauerstoff;71
51732-6;110866;Sauerstoffsättigung berechnet aus Sauerstoff-Partialdruck Kapillarblut;Heimbeatmung Sauerstoff;61
47100-3;101472;Kupfer Blut;Blutgruppe;67
47100-3;102128;Kupfer Blut;Kopf Haut;60
47100-3;104680;Kupfer Blut;Blutggruppe;64
39485-8;102158;pH Kapillarblut Körpertemperatur;Koerpertemperatur;62
39485-8;104147;pH Kapillarblut Körpertemperatur;Airvo Temperatur;60
39485-8;108632;pH Kapillarblut Körpertemperatur;BairHugger Temperatur;62
39485-8;108742;pH Kapillarblut Körpertemperatur;P Temperatur DeltaT;60
39485-8;110925;pH Kapillarblut Körpertemperatur;P Temperatur Arteriell;60
39485-8;110926;pH Kapillarblut Körpertemperatur;P Temperatur Haut;62
39485-8;110931;pH Kapillarblut Körpertemperatur;P Temperatur Allg;62
1961-2;102597;Bicarbonat Kapillarblut;Bicarbonat;100
1961-2;102639;Bicarbonat Kapillarblut;Mess Bicarbonat;80
1961-2;102677;Bicarbonat Kapillarblut;Bicarbonat;100
1961-2;103160;Bicarbonat Kapillarblut;Bicarbonat;100
1961-2;103191;Bicarbonat Kapillarblut;Bicarbonat;100
1961-2;103227;Bicarbonat Kapillarblut;Bicarbonat;100
1961-2;103243;Bicarbonat Kapillarblut;Bicarbonat;100
1961-2;104881;Bicarbonat Kapillarblut;Bicarbonat;100
1961-2;104897;Bicarbonat Kapillarblut;Bicarbonat;100
1961-2;104922;Bicarbonat Kapillarblut;Bicarbonat;100
1961-2;104937;Bicarbonat Kapillarblut;Bicarbonat;100
1961-2;110786;Bicarbonat Kapillarblut;P Bicarbonat;91
1961-2;110806;Bicarbonat Kapillarblut;P Bicarbonat;91
2881-1;102107;Protein Körperflüssigkeit;PatFluessigkeitRate;67
2881-1;102113;Protein Körperflüssigkeit;Mess PatFluessigkeitRate;60
54160-7;103707;Ki Antikörper Serum;Antikoerper;62
54160-7;104679;Ki Antikörper Serum;Antikoerper;62
54160-7;108675;Ki Antikörper Serum;P Antikoerper Mutter;63
2775-5;102114;Phosphat Dialysat;Mess Dialysatfluß;61
2775-5;102690;Phosphat Dialysat;Dialysatloesung;62
2775-5;102755;Phosphat Dialysat;Dialysat;100
2775-5;102897;Phosphat Dialysat;Dialysatfiltrate;61
2775-5;103042;Phosphat Dialysat;Dialysatlösung;60
2775-5;103043;Phosphat Dialysat;Dialysat;100
2775-5;103045;Phosphat Dialysat;BM25 Dialysat;76
2775-5;103123;Phosphat Dialysat;Dialysat;100
2775-5;103124;Phosphat Dialysat;BM25 Dialysat;76
2775-5;104978;Phosphat Dialysat;CRRT Dialysat;76
2775-5;104999;Phosphat Dialysat;CRRT Dialysat;76
2775-5;107787;Phosphat Dialysat;Doku Aussehen Dialysat;64
2775-5;107790;Phosphat Dialysat;Doku Dialysat1;65
2775-5;107791;Phosphat Dialysat;Doku Dialysat2;65
2775-5;107802;Phosphat Dialysat;Dialysat1;62
2775-5;107803;Phosphat Dialysat;Dialysat2;62
56946-7;108157;Insulin Serum Plasma Tage Stimulation;Insulin ja;82
56946-7;108158;Insulin Serum Plasma Tage Stimulation;Insulin nein;74
56946-7;108510;Insulin Serum Plasma Tage Stimulation;Atmung Stimulation;76
40162-0;108510;Glucose Serum Plasma Stunden Stimulation;Atmung Stimulation;76
1419-1;108157;Cortisol Serum Plasma Minuten Dosis Insulin intravenös;Insulin ja;82
1419-1;108158;Cortisol Serum Plasma Minuten Dosis Insulin intravenös;Insulin nein;74
18833-4;14;Erstes Körpergewicht;Geburtsgewicht;67
18833-4;100251;Erstes Körpergewicht;idealesKoerpergewicht;75
39481-7;104832;Glucose arteriellem Blut;Apherese Blutfluss;62
274-1;107861;Hetacillin minimaler letaler Konzentration (MLK);O2 Konzentration;90
274-1;107864;Hetacillin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
274-1;107867;Hetacillin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
40048-1;108510;Albumin Serum Plasma Minuten Stimulation;Atmung Stimulation;76
25623-0;108510;Cortisol Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
40003-6;108510;Glucose Serum Plasma ,5 Stunden Stimulation;Atmung Stimulation;76
77739-1;108098;Hepatitis-B-Virus-Oberflächenantigen-Status Mutter;Mutter nein;71
77739-1;108099;Hepatitis-B-Virus-Oberflächenantigen-Status Mutter;Mutter ja;80
77739-1;108152;Hepatitis-B-Virus-Oberflächenantigen-Status Mutter;Mutter;100
44933-0;6;Spezifisches Gewicht -Stunden-Urin Refraktometrie;Gewicht;100
44933-0;104258;Spezifisches Gewicht -Stunden-Urin Refraktometrie;Servoi Gewicht;67
44933-0;110904;Spezifisches Gewicht -Stunden-Urin Refraktometrie;P Gewicht;88
419-2;107861;Polymyxinminimaler letaler Konzentration (MLK);O2 Konzentration;90
419-2;107864;Polymyxinminimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
419-2;107867;Polymyxinminimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
399-6;107861;Phenethicillin minimaler letaler Konzentration (MLK);O2 Konzentration;90
399-6;107864;Phenethicillin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
399-6;107867;Phenethicillin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
94651-7;101327;Reiseland;Land;62
94651-7;101435;Reiseland;Resistance;63
3878-6;104833;Opiate Serum Plasma;Apherese Plasma;65
3878-6;104834;Opiate Serum Plasma;Apherese Plasma;65
3878-6;104846;Opiate Serum Plasma;Apherese Plasma;65
9477-1;108279;Blei Wasser;Fruchtwasser blutig;67
9477-1;108280;Blei Wasser;Fruchtwasser erbsbrei;62
192-5;107861;Clindamycin minimaler letaler Konzentration (MLK);O2 Konzentration;90
192-5;107864;Clindamycin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
192-5;107867;Clindamycin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
27868-9;108510;Follitropin Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
1763-2;104833;Aldosteron Serum Plasma;Apherese Plasma;63
1763-2;104834;Aldosteron Serum Plasma;Apherese Plasma;63
1763-2;104846;Aldosteron Serum Plasma;Apherese Plasma;63
50719-4;108510;11-Desoxycortisol Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
46220-0;102755;Creatinin Dialysat -- Nacht;Dialysat;100
46220-0;103043;Creatinin Dialysat -- Nacht;Dialysat;100
46220-0;103045;Creatinin Dialysat -- Nacht;BM25 Dialysat;76
46220-0;103123;Creatinin Dialysat -- Nacht;Dialysat;100
46220-0;103124;Creatinin Dialysat -- Nacht;BM25 Dialysat;76
46220-0;104978;Creatinin Dialysat -- Nacht;CRRT Dialysat;76
46220-0;104999;Creatinin Dialysat -- Nacht;CRRT Dialysat;76
164-4;107861;Cephapirin minimaler letaler Konzentration (MLK);O2 Konzentration;90
164-4;107864;Cephapirin minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
164-4;107867;Cephapirin minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
29463-7;6;Körpergewicht;Gewicht;74
29463-7;13;Körpergewicht;Bezugsgewicht;64
29463-7;14;Körpergewicht;Geburtsgewicht;69
29463-7;100251;Körpergewicht;idealesKoerpergewicht;73
29463-7;101322;Körpergewicht;AufnGewicht;61
29463-7;104771;Körpergewicht;PatGewicht;73
29463-7;110904;Körpergewicht;P Gewicht;67
100055-3;102569;Optochin;Phoch;62
100055-3;102571;Optochin;Thoch;62
100055-3;103310;Optochin;Thoch;62
100055-3;103312;Optochin;Phoch;62
17862-4;102721;Calcium Urin;Calcium;100
17862-4;102743;Calcium Urin;Calcium;100
17862-4;102749;Calcium Urin;CalciumLoesung;69
17862-4;102763;Calcium Urin;CalciumLoesung;69
17862-4;103052;Calcium Urin;Calciuoesung;67
17862-4;103054;Calcium Urin;Calcium;100
17862-4;103055;Calcium Urin;Calciuoesung;67
17862-4;103058;Calcium Urin;CalciumFiltrat;62
17862-4;107934;Calcium Urin;P ADS MS ADS Calcium postFilter;74
17862-4;107935;Calcium Urin;P ADS MS ADS Calcium preFilter;74
44052-9;108279;Phosphofructokinase Blut;Fruchtwasser blutig;60
2339-0;101472;Glucose Blut;Blutgruppe;64
2339-0;102102;Glucose Blut;Blutfluss;67
2339-0;102108;Glucose Blut;Mess Blutfluss;62
2339-0;102976;Glucose Blut;Blutfluss;67
2339-0;103152;Glucose Blut;Blutfluss;67
2339-0;103180;Glucose Blut;Blutfluss;67
2339-0;103220;Glucose Blut;Blutfluss;67
2339-0;104680;Glucose Blut;Blutggruppe;61
2339-0;104888;Glucose Blut;Blutfluss;67
2339-0;104907;Glucose Blut;Blutfluss;67
2339-0;106339;Glucose Blut;Blutfluss;67
2339-0;106381;Glucose Blut;Blutfluss;67
2339-0;110796;Glucose Blut;P Blutfluss;61
2339-0;117163;Glucose Blut;P Blutfluss;61
31028-4;104833;Amprenavir Serum Plasma;Apherese Plasma;68
31028-4;104834;Amprenavir Serum Plasma;Apherese Plasma;68
31028-4;104846;Amprenavir Serum Plasma;Apherese Plasma;68
52752-3;100203;Prothrombinzeit (PT) PIVKA insensitiv /normal Kapillarblut Gerinnungstest;PT;100
52752-3;100676;Prothrombinzeit (PT) PIVKA insensitiv /normal Kapillarblut Gerinnungstest;PT;100
29358-9;108510;Cortisol Serum Plasma -- Stimulation;Atmung Stimulation;76
40222-2;108510;Glucose Serum Plasma Tage Stimulation;Atmung Stimulation;76
8330-3;102158;Körpertemperatur - Intravaskulär;Koerpertemperatur;67
8330-3;103731;Körpertemperatur - Intravaskulär;Doku Temperatur;60
8330-3;103734;Körpertemperatur - Intravaskulär;Doku ECMOTemperatur;60
8330-3;104147;Körpertemperatur - Intravaskulär;Airvo Temperatur;64
8330-3;104831;Körpertemperatur - Intravaskulär;Apherese Temperatur;60
8330-3;104844;Körpertemperatur - Intravaskulär;Apherese Temperatur;60
8330-3;104973;Körpertemperatur - Intravaskulär;CRRT Temperatur;60
8330-3;104994;Körpertemperatur - Intravaskulär;CRRT Temperatur;60
8330-3;107939;Körpertemperatur - Intravaskulär;P ADS ADS Systemtemperatur;60
8330-3;107949;Körpertemperatur - Intravaskulär;P ADS ADS Systemtemperatur;60
8330-3;108624;Körpertemperatur - Intravaskulär;P Lifetherm Temperatur;60
8330-3;108632;Körpertemperatur - Intravaskulär;BairHugger Temperatur;61
8330-3;108742;Körpertemperatur - Intravaskulär;P Temperatur DeltaT;60
8330-3;110925;Körpertemperatur - Intravaskulär;P Temperatur Arteriell;60
8330-3;110926;Körpertemperatur - Intravaskulär;P Temperatur Haut;62
8330-3;110927;Körpertemperatur - Intravaskulär;P Temperatur Naso;67
8330-3;110930;Körpertemperatur - Intravaskulär;P Temperatur Rektal;60
8330-3;110931;Körpertemperatur - Intravaskulär;P Temperatur Allg;62
8330-3;110933;Körpertemperatur - Intravaskulär;P Temperatur Kern;62
8330-3;110936;Körpertemperatur - Intravaskulär;P Temperatur Kern;62
2053-7;104833;Carotin Serum Plasma;Apherese Plasma;63
2053-7;104834;Carotin Serum Plasma;Apherese Plasma;63
2053-7;104846;Carotin Serum Plasma;Apherese Plasma;63
33845-9;108510;Parathormon.intakt Serum Plasma Stunde Stimulation;Atmung Stimulation;76
42221-2;103382;Mangan Urin;Eins Ausgang;61
17839-2;104832;Alpha-Fucosidase Blut;Apherese Blutfluss;62
4186-3;102744;Ciprofloxacin Dosis;CitratDosis;60
16657-9;108510;Corticotropin Plasma Radioimmunoassay Stunde Stimulation;Atmung Stimulation;76
16654-6;108510;Corticotropin Plasma Radioimmunoassay ,5 Stunden Stimulation;Atmung Stimulation;76
56527-5;108510;Vasopressin Plasma Stunde Stimulation;Atmung Stimulation;76
27830-9;108157;Insulin Serum Plasma StundeGlucose;Insulin ja;82
27830-9;108158;Insulin Serum Plasma StundeGlucose;Insulin nein;74
32082-0;104833;Ibuprofen Serum Plasma;Apherese Plasma;65
32082-0;104834;Ibuprofen Serum Plasma;Apherese Plasma;65
32082-0;104846;Ibuprofen Serum Plasma;Apherese Plasma;65
20786-0;144;Medikamente identifiziert Gewebe Screening;Medikamente gestellt;71
47146-6;108510;Adrenalin Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
26436-6;100781;Laboruntersuchungen;Anfeuchtung;60
26436-6;100809;Laboruntersuchungen;Anfeuchtung;60
26436-6;101482;Laboruntersuchungen;Anfeuchtung;60
26436-6;102122;Laboruntersuchungen;IABP Unterstützung;61
57078-8;108529;Pränatale Testung - Freitext;Elternanleitung;60
12566-6;108510;Cortisol Serum Plasma Minuten Stimulation;Atmung Stimulation;76
15038-3;102729;Citrat Serum Plasma;Citrat;100
15038-3;103053;Citrat Serum Plasma;Citrat;100
15038-3;103061;Citrat Serum Plasma;MS Citratfluss;61
55107-7;100189;- Dokument;Wunddokumentation;64
55107-7;101391;- Dokument;Dokumentation;76
55107-7;101405;- Dokument;Dokumentation;76
55107-7;101417;- Dokument;Dokumentation;76
55107-7;101419;- Dokument;Doku;67
55107-7;102088;- Dokument;Doku ECMOATZ;60
55107-7;102137;- Dokument;Abdomen Haut;60
55107-7;102553;- Dokument;Doku;67
55107-7;102712;- Dokument;Doku;67
55107-7;102716;- Dokument;Doku;67
55107-7;103110;- Dokument;Doku;67
55107-7;103115;- Dokument;Doku Füllen;67
55107-7;103117;- Dokument;Doku;67
55107-7;103731;- Dokument;Doku Temperatur;61
55107-7;103861;- Dokument;Doku;67
55107-7;103880;- Dokument;Doku;67
55107-7;104857;- Dokument;Doku;67
55107-7;104912;- Dokument;Doku Fuellen;60
55107-7;104914;- Dokument;Doku;67
55107-7;104916;- Dokument;Doku Konzentrat;61
55107-7;104919;- Dokument;Doku;67
55107-7;106326;- Dokument;DOKU Flushen;60
55107-7;106345;- Dokument;DOKU;67
55107-7;106346;- Dokument;DOKU;67
55107-7;106349;- Dokument;DOKU Oxygenator;61
55107-7;106351;- Dokument;DOKU HCT;62
55107-7;107788;- Dokument;Doku;67
51499-2;108510;Estradiol (E2) Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
96790-1;101973;Sepsis-related Organ Failure Assessment (SOFA) Score;Score SAPS2;62
96790-1;101992;Sepsis-related Organ Failure Assessment (SOFA) Score;Score SOFA;100
96790-1;102764;Sepsis-related Organ Failure Assessment (SOFA) Score;Score ARDS;67
96790-1;102784;Sepsis-related Organ Failure Assessment (SOFA) Score;Score RASS;67
96790-1;102785;Sepsis-related Organ Failure Assessment (SOFA) Score;Score AIS;71
96790-1;102788;Sepsis-related Organ Failure Assessment (SOFA) Score;Score Apgar;62
96790-1;102791;Sepsis-related Organ Failure Assessment (SOFA) Score;Score BPS;71
96790-1;102792;Sepsis-related Organ Failure Assessment (SOFA) Score;Score CIWA;67
96790-1;102795;Sepsis-related Organ Failure Assessment (SOFA) Score;Score CRIB;67
96790-1;102796;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DRS;71
96790-1;102798;Sepsis-related Organ Failure Assessment (SOFA) Score;Score GDS;71
96790-1;102800;Sepsis-related Organ Failure Assessment (SOFA) Score;Score Kuss;67
96790-1;102801;Sepsis-related Organ Failure Assessment (SOFA) Score;Score MAAS;67
96790-1;102802;Sepsis-related Organ Failure Assessment (SOFA) Score;Score MMS;71
96790-1;102803;Sepsis-related Organ Failure Assessment (SOFA) Score;Score MOF;71
96790-1;102804;Sepsis-related Organ Failure Assessment (SOFA) Score;Score mRS;71
96790-1;102806;Sepsis-related Organ Failure Assessment (SOFA) Score;Score NIHSS;62
96790-1;102807;Sepsis-related Organ Failure Assessment (SOFA) Score;Score NIPS;67
96790-1;102810;Sepsis-related Organ Failure Assessment (SOFA) Score;Score RSS;71
96790-1;102811;Sepsis-related Organ Failure Assessment (SOFA) Score;Score RTS;71
96790-1;102812;Sepsis-related Organ Failure Assessment (SOFA) Score;Score SAS;71
96790-1;102813;Sepsis-related Organ Failure Assessment (SOFA) Score;Score Lachs;62
96790-1;102815;Sepsis-related Organ Failure Assessment (SOFA) Score;Score VICS;67
96790-1;103444;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103458;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103506;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103507;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103509;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103510;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103511;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103512;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103518;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103523;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103527;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103536;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103538;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103540;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103543;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103544;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103545;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103550;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103551;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103554;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103556;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103557;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103558;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103559;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103560;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;103562;Sepsis-related Organ Failure Assessment (SOFA) Score;Score DGAI;67
96790-1;105222;Sepsis-related Organ Failure Assessment (SOFA) Score;Score NRS;71
96790-1;105223;Sepsis-related Organ Failure Assessment (SOFA) Score;Score BPS;71
96790-1;106651;Sepsis-related Organ Failure Assessment (SOFA) Score;Score UStix;62
96790-1;108395;Sepsis-related Organ Failure Assessment (SOFA) Score;Score FLACC;62
96790-1;108441;Sepsis-related Organ Failure Assessment (SOFA) Score;Score SOS;71
96790-1;108458;Sepsis-related Organ Failure Assessment (SOFA) Score;Score SOS;71
96790-1;108680;Sepsis-related Organ Failure Assessment (SOFA) Score;Score NACA;67
96790-1;108684;Sepsis-related Organ Failure Assessment (SOFA) Score;Score ISS;71
96790-1;110976;Sepsis-related Organ Failure Assessment (SOFA) Score;Score FOUR;67
96790-1;117221;Sepsis-related Organ Failure Assessment (SOFA) Score;Score;100
96790-1;117225;Sepsis-related Organ Failure Assessment (SOFA) Score;Score Race;67
467-1;107861;Sulfamethoxazol minimaler letaler Konzentration (MLK);O2 Konzentration;90
467-1;107864;Sulfamethoxazol minimaler letaler Konzentration (MLK);Doku Atom O2 Konzentration;67
467-1;107867;Sulfamethoxazol minimaler letaler Konzentration (MLK);Atom O2 Konzentration;76
25581-0;108510;C-Peptid Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
22496-4;108675;Röteln-Virus Antikörper Serum;P Antikoerper Mutter;60
33790-7;102721;Calcium Urin . Probenmaterial Stimulation;Calcium;100
33790-7;102743;Calcium Urin . Probenmaterial Stimulation;Calcium;100
33790-7;103054;Calcium Urin . Probenmaterial Stimulation;Calcium;100
33790-7;108510;Calcium Urin . Probenmaterial Stimulation;Atmung Stimulation;76
12523-7;108510;Katecholamine Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
17009-2;104240;IgM Serum;MS Servoi i;60
33654-5;108157;Insulin- Wachstumsfaktor Bindungsprotein Serum Plasma Stunde Stimulation;Insulin ja;82
33654-5;108158;Insulin- Wachstumsfaktor Bindungsprotein Serum Plasma Stunde Stimulation;Insulin nein;74
33654-5;108510;Insulin- Wachstumsfaktor Bindungsprotein Serum Plasma Stunde Stimulation;Atmung Stimulation;76
25625-5;108510;Cortisol Serum Plasma . Probenmaterial Stimulation;Atmung Stimulation;76
14417-0;102721;Calcium Peritonealflüssigkeit;Calcium;100
14417-0;102743;Calcium Peritonealflüssigkeit;Calcium;100
14417-0;103054;Calcium Peritonealflüssigkeit;Calcium;100
25362-5;102721;Calcium -Stunden-Urin;Calcium;100
25362-5;102743;Calcium -Stunden-Urin;Calcium;100
25362-5;103054;Calcium -Stunden-Urin;Calcium;100
25362-5;105006;Calcium -Stunden-Urin;CRRT CalciumLoesung;62
16389-9;104833;Antidrepressiva Serum Plasma;Apherese Plasma;60
16389-9;104834;Antidrepressiva Serum Plasma;Apherese Plasma;60
16389-9;104846;Antidrepressiva Serum Plasma;Apherese Plasma;60
19255-9;100808;Sauerstoff Körpertemperatur arteriellem Blut;Sauerstoff;100
19255-9;101481;Sauerstoff Körpertemperatur arteriellem Blut;Sauerstoff;100
