9271-8	10M Apgar Score
68437-3	Smudge Cells # Bld Manual
7798-2	Smudge Cells Bld Ql Smear
34992-8	Smudge Cells/leuk NFr Bld
14912-0	Smudge Cells/leuk NFr Bld Manual
33549-7	SNV Ab Ser Ql
31408-8	SNV IgG Ser-aCnc
26654-4	SNV IgG Ser Ql
23867-5	SNV IgG Titr Ser
31409-6	SNV IgM Ser-aCnc
26650-2	SNV IgM Ser Ql
23868-3	SNV IgM Titr Ser
29762-2	Social Hx
18377-2	Sodium 12h Ur-sRate
21525-1	Sodium 24h Ur-sCnc
2956-1	Sodium 24h Ur-sRate
18376-4	Sodium 6h Ur-sRate
32717-1	Sodium BldA-sCnc
39792-7	Sodium BldC-sCnc
41657-8	Sodium BldMV-sCnc
2947-0	Sodium Bld-sCnc
39791-9	Sodium BldV-sCnc
43223-7	Sodium/Creat Ur-Rto
33951-5	Sodium/Creat Ur-sRto
2948-8	Sodium CSF-sCnc
39787-7	Sodium DiafP-sCnc
2949-6	Sodium Dial fld-sCnc
2950-4	Sodium Fld-sCnc
56979-8	Sodium Sal-sCnc
2951-2	Sodium SerPl-sCnc
15207-4	Sodium Stl-sCnc
14055-8	Sodium Stl-sCnt
2954-6	Sodium Sweat-sCnc
2955-3	Sodium Ur-sCnc
12908-0	Sodium Vitf-sCnc
96790-1	SOFA total score SOFA
7709-9	Sole IgE Qn
16026-7	Sole IgE RAST Ql
9654-5	Sol Il2 Recep SerPl-aCnc
76039-7	Sol Il2 Recep SerPl-mCnc
73632-2	Solithromycin Islt KB
73609-0	Solithromycin Islt MIC
73587-8	Solithromycin Susc Islt
12734-0	Soluble liver Ab Ser-aCnc
32219-8	Soluble liver Ab Ser IA-aCnc
13925-3	Soluble liver Ab Ser Ql
42199-0	Soluble liver Ab Ser Ql IA
38420-6	Soluble liver IgG Ser IA-aCnc
12416-4	Sotalol SerPl-mCnc
55579-7	Sotalol SerPl-sCnc
4031-1	Sotalol Ur-mCnc
48766-0	Source of info
7138-1	Soybean dust IgE Qn
21104-5	Soybean dust IgE RAST Ql
6248-9	Soybean IgE Qn
15568-9	Soybean IgE RAST Ql
35546-1	Soybean IgG-mCnc
6735-5	Soybean IgG Qn
21102-9	Soybean IgG RAST Ql
54024-5	sp100 Ab Ser Ql
22517-7	S paraty A H Ab Ser Ql
5339-7	S paraty A H Ab Ser Ql LA
22518-5	S paraty A H Ab Titr Ser
21511-1	S paraty A H Ab Titr Ser Aggl
21512-9	S paraty A H Ab Titr Ser IF
22519-3	S paraty A O Ab Ser Ql
5340-5	S paraty A O Ab Ser Ql LA
33316-1	S paraty A O Ab Titr Ser
33470-6	S paraty A O Ab Titr Ser Aggl
22520-1	S Paraty B Ab Ser Ql
22521-9	S paraty B H Ab Ser Ql
5341-3	S paraty B H Ab Ser Ql LA
22522-7	S paraty B H Ab Titr Ser
21513-7	S paraty B H Ab Titr Ser Aggl
22523-5	S paraty B O Ab Ser Ql
5342-1	S paraty B O Ab Ser Ql LA
42964-7	S paraty B O Ab Titr Ser
27938-0	S paraty B O Ab Titr Ser Aggl
22524-3	S paraty C H Ab Ser Ql
5343-9	S paraty C H Ab Ser Ql LA
42963-9	S paraty C H Ab Titr Ser
34369-9	S paraty C H Ab Titr Ser Aggl
22525-0	S paraty C O Ab Ser Ql
5344-7	S paraty C O Ab Ser Ql LA
42962-1	S paraty C O Ab Titr Ser
34370-7	S paraty C O Ab Titr Ser Aggl
7047-4	Sparfloxacin Islt Grad strip
35839-0	Sparfloxacin Islt KB
20397-6	Sparfloxacin Islt MIC
23610-9	Sparfloxacin Islt SlowMyco
23628-1	Sparfloxacin Susc Islt
49070-6	Specimen drawn CSF
20506-2	Specimen drawn from Patient
19151-0	Specimen drawn SerPl
49833-7	Specimen drawn sp2 SerPl
31208-2	Specimen source
19763-2	Specimen source Cvx/Vag Cyto
47938-6	Specimen source Fld
66746-9	Specimen type
21530-1	Specimen vol 10h Ur
13495-7	Specimen vol 24h Dial fld
3158-3	Specimen vol 24h Fld-mRate
3170-8	Specimen vol 24h Spec-vRate
17603-2	Specimen vol 24h Stl
3162-5	Specimen vol 24h Stl-mRate
17604-0	Specimen vol 24h Sweat
3167-4	Specimen vol 24h Ur
3168-2	Specimen vol 24h Ur-vRate
13619-2	Specimen vol 2h Ur
13494-0	Specimen vol 4h Dial fld
18352-5	Specimen vol 4h Ur
12255-6	Specimen vol 5h Ur
17600-8	Specimen vol 6h Ur
21529-3	Specimen vol 8h Ur
3157-5	Specimen vol Bld
12457-8	Specimen vol Dial fld
34978-7	Specimen vol Prt
17606-5	Specimen vol Stl
33514-1	Specimen vol Sweat
19153-6	Specimen vol ?Tm Ur
28009-9	Specimen vol Ur
25530-7	Specimen wt 24h Stl-mRate
17608-1	Specimen wt 48h Stl-mRate
17609-9	Specimen wt 72h Stl-mRate
30078-0	Specimen wt Stl Qn
33247-8	Specimen wt Sweat Qn
29638-4	Specimen wt Tiss Qn
35840-8	Spectinomycin Islt Grad strip
453-1	Spectinomycin Islt KB
452-3	Spectinomycin Islt MIC
451-5	Spectinomycin Islt MLC
18980-3	Spectinomycin Susc Islt
454-9	Spectinomycin Titr SBT
5360-3	Sperm Ab Cerv mucus-aCnc
31630-7	Sperm Ab Cerv mucus Ql
5362-9	Sperm Ab Ser-aCnc
31631-5	Sperm Ab Ser Ql
5361-1	Sperm Ab Smn-aCnc
31632-3	Sperm Ab Smn Ql
30559-9	Sperm Ab Spec-aCnc
53324-0	Sperm #/area UrnS Auto
18401-0	Sperm IgG Cerv mucus-aCnc
9724-6	Sperm IgG Ser-aCnc
32626-4	Sperm IgG Ser Ql
32720-5	Sperm IgM Smn Ql
9780-8	Sperm # Smn
9704-8	Sperm Smn
34441-6	Sperm Smn Qn
51479-4	Sperm # Ur Auto
8248-7	Sperm UrnS Ql Micro
44933-0	Sp Gr 24h Ur Refractometry
2964-5	Sp Gr Fld
14348-7	Sp Gr Prt Refractometry
2965-2	Sp Gr Ur
50562-8	Sp Gr Ur Refract.auto
5810-7	Sp Gr Ur Refractometry
5811-5	Sp Gr Ur Strip
53326-5	Sp Gr Ur Strip.auto
802-9	Spherocytes Bld Ql Smear
53971-8	Spherocytes UrnS Ql Micro
6856-9	Spinach IgE Qn
16027-5	Spinach IgE RAST Ql
7711-5	Spinach IgG Qn
21537-6	Spinach IgG RAST Ql
6249-7	Spiny lobster IgE Qn
15822-0	Spiny lobster IgE RAST Ql
55715-7	Spiramycin Islt Grad strip
457-2	Spiramycin Islt KB
456-4	Spiramycin Islt MIC
455-6	Spiramycin Islt MLC
18981-1	Spiramycin Susc Islt
458-0	Spiramycin Titr SBT
85759-9	S pn Da 11A+11D DNA Ct Spec Qn NAA+probe
85758-1	Spn Da 12A+12F+44+46 DNA Ct Spec NAA+pr
85756-5	Spn Da 18A+B+C+F DNA Ct Spec Qn NAA+prb
85749-0	S pn Da 22A+22F DNA Ct Spec Qn NAA+probe
85755-7	S pn Da 33A+33F+37 DNA Ct Spec Qn NAA+pr
85754-0	S pn Da 6(A+B+C+D) DNA Ct Spec Qn NAA+pr
85745-8	S pn Da sero 19F DNA Ct Spec Qn NAA+prb
85757-3	Spneu Da 15A+15F DNA Ct Spec Qn NAA+prb
17647-9	S pneum Ab Ser-aCnc
25531-5	S pneum Ab Ser-mCnc
8030-9	S pneum Ab Ser Ql
20489-1	S pneum Ag CSF Ql
86590-7	S pneum Ag CSF Ql IA.rapid
6553-2	S pneum Ag CSF Ql IF
14322-2	S pneum Ag CSF Ql LA
73685-0	S pneum Ag Islt Ql LA
6555-7	S pneum Ag Spec Ql IF
17652-9	S pneum Ag Spec Ql LA
6554-0	S pneum Ag Spt Ql IF
24027-5	S pneum Ag Ur Ql
85746-6	S pneum Da 14 DNA Ct Spec Qn NAA+probe
85751-6	S pneum Da 16F DNA Ct Spec Qn NAA+probe
85760-7	S pneum Da 19A DNA Ct Spec Qn NAA+probe
85747-4	S pneum Da 1 DNA Ct Spec Qn NAA+probe
85750-8	S pneum Da 23A DNA Ct Spec Qn NAA+probe
85743-3	S pneum Da 23F DNA Ct Spec Qn NAA+probe
85744-1	S pneum Da 2 DNA Ct Spec Qn NAA+probe
85742-5	S pneum Da 3 DNA Ct Spec Qn NAA+probe
85741-7	S pneum Da 4 DNA Ct Spec Qn NAA+probe
85740-9	S pneum Da 5 DNA Ct Spec Qn NAA+probe
85753-2	S pneum Da 6C+6D DNA Ct Spec Qn NAA+prb
85748-2	S pneum Da 7A+7F DNA Ct Spec Qn NAA+prb
85752-4	S pneum Da 9A+9V DNA Ct Spec Qn NAA+prb
85768-0	S pneum DNA Bld Pos Ql NAA+non-probe
92771-5	S pneum DNA Bld Pos Ql NAA+probe
82187-6	S pneum DNA CSF Ql NAA+non-probe
99094-5	S pneum DNA CSF Ql NAA+probe
97637-3	S pneum DNA Snv Ql NAA+non-probe
49672-9	S pneum DNA Spec Ql NAA+probe
5368-6	S pneum IgG Ser IA-aCnc
43236-9	S pneum IgG Ser IA-mCnc
17651-1	S pneum IgG sp2 Ser IA-aCnc
5035-1	S pneum rRNA Spec Ql Probe
88722-4	S pneum Sertyp Islt
73674-4	S pneum Sertyp Islt Aggl
85496-8	S pneum Sertyp Spec NAA+probe
6857-7	Spruce IgE Qn
16029-1	Spruce IgE RAST Ql
23435-1	S pullorum DNA Spec Ql NAA+probe
23436-9	S pullorum rRNA Spec Ql Probe
6558-1	S pyo Ag Spec Ql IA
18481-2	S pyo Ag Throat Ql
78012-2	S pyo Ag Throat Ql IA.rapid
31658-8	S pyog.enz Ab Ser-aCnc
12259-8	S pyog.enz Ab Ser Ql Shp Aggl
5036-9	S pyo rRNA Spec Ql Probe
17656-0	S pyo Spec Ql Cult
33219-7	Squamous #/area UrnS Auto
11277-1	Squamous #/area UrnS HPF
14327-1	Squamous Spt Ql Micro
51486-9	Squamous # Ur Auto
13654-9	Squamous # UrnS
12258-0	Squamous UrnS Ql Micro
53318-2	Squamous Ur Ql Auto
6858-5	Squid IgE Qn
16031-7	Squid IgE RAST Ql
56240-5	Squid IgG4-mCnc
19749-1	S rectivirgula IgG Ql
25480-5	S rectivirgula IgG RAST Ql
34410-1	S rectivirgula IgG Ser Ql ID
6138-2	S rostrata IgE Qn
15769-3	S rostrata IgE RAST Ql
35555-2	S rostrata IgG-mCnc
53031-1	SRP Ab SerPl-aCnc
33921-8	SRP Ab SerPl Ql
53010-5	SRP Ab SerPl Ql IF
53011-3	SRP Ab Titr SerPl IF
5132-6	ssDNA Ab Ser-aCnc
42201-4	ssDNA IgG Ser IA-aCnc
10361-4	ssDNA IgM Ser-aCnc
57853-4	SSHV IgG Ser Ql IA
74829-3	SSHV IgG Ser Ql IF
95665-6	SSHV IgG Spec Ql IA
55379-2	SSHV IgM Ser Ql IA
74846-7	SSHV IgM Ser Ql IF
95680-5	SSHV IgM Spec Ql IA
42953-0	SSHV IgM Titr Ser
40509-2	SSHV IgM Titr Ser Nt
97926-0	SSHV RNA Spec Ql NAA+probe
9715-4	S sonnei Ab Titr Ser CF
42259-2	S sonnei Ag Islt Ql
8035-8	S stercoralis IgG Ser Ql
6632-4	S stercoralis IgG Ser Ql IA
48417-0	Staphylolysin Ab Fld-aCnc
5366-0	Staphylolysin Ab Ser-aCnc
48418-8	Staphylolysin Ab Titr Ser
2967-8	Starch Granules Stl Ql Micro
33861-6	Starch Granules UrnS Ql Micro
10924-9	Starfruit IgE Qn
15601-8	Starfruit IgE RAST Ql
19764-0	Stat of Adq Cvx/Vag Cyto-Imp
30248-9	sTfR SerPl-mCnc
33210-6	sTfR SerPl-sCnc
82754-3	St of travel
10380-4	Stomatocytes Bld Ql Smear
14638-1	Stone Analysis-Imp
40787-4	Stone Analysis IR-Imp
6257-0	Strawberry IgE Qn
16038-2	Strawberry IgE RAST Ql
40835-1	Strawberry IgG-mCnc
7721-4	Strawberry IgG Qn
21542-6	Strawberry IgG RAST Ql
5133-4	Strep DNAse B Ser-aCnc
14207-5	Strep DNAse B Titr Ser
43390-4	Streptococcus Islt
34375-6	Streptokinase Ab Titr Ser
4681-3	Streptokinase Plas-cCnc
25206-4	Streptomycin 10 ug/mL Islt SlowMyco
48177-0	Streptomycin 1 ug/mL Islt SlowMyco
25205-6	Streptomycin 2 ug/mL Islt SlowMyco
46719-1	Streptomycin 4 ug/mL Islt SlowMyco
25185-0	Streptomycin 6 ug/mL Islt SlowMyco
35841-6	Streptomycin High Pot Islt Grad strip
7049-0	Streptomycin High Pot Islt KB
6933-6	Streptomycin High Pot Islt MIC
18983-7	Streptomycin High Pot Susc Islt
96114-4	Streptomycin Islt Genotyp
7048-2	Streptomycin Islt Grad strip
461-4	Streptomycin Islt KB
460-6	Streptomycin Islt MIC
459-8	Streptomycin Islt MLC
20462-8	Streptomycin Islt SlowMyco
4039-4	Streptomycin SerPl-mCnc
18982-9	Streptomycin Susc Islt
462-2	Streptomycin Titr SBT
5227-4	Str Hyaluronidase Ab Ser Ql
8097-8	Stria Mus Ab Titr Ser
5372-8	Stria Mus Ab Titr Ser IF
31660-4	Stria Mus IgG Ser-aCnc
49692-7	Stria Mus IgG Ser Ql IF
8034-1	Strongyloides Ab Ser-aCnc
10718-5	Strongyloides Ab Ser IA-aCnc
34376-4	Strongyloides IgG Ser IA-aCnc
5741-4	Strychnine 24h Ur-mRate
14101-0	Strychnine Gast-mCnc
20969-2	Strychnine Gast Ql
5738-0	Strychnine SerPl-mCnc
5737-2	Strychnine SerPl Ql
59968-8	Strychnine SerPl-sCnc
23780-0	Strychnine Spec-mCnc
20970-0	Strychnine Spec Ql
5740-6	Strychnine Ur-mCnc
5739-8	Strychnine Ur Ql
59969-6	Strychnine Ur-sCnc
70021-1	S Typhi DNA Bld Ql NAA+probe
22529-2	S Typhi H Ab Ser Ql
5345-4	S Typhi H Ab Ser Ql LA
42960-5	S Typhi H Ab Titr Ser
34371-5	S Typhi H Ab Titr Ser Aggl
53956-9	S Typhi Islt Aggl
34424-2	S Typhimur H Ab Titr Ser
34432-5	S Typhimur H Ab Titr Ser Aggl
17566-1	S Typhi O Ab Ser Ql
5346-2	S Typhi O Ab Ser Ql LA
42959-7	S Typhi O Ab Titr Ser
34372-3	S Typhi O Ab Titr Ser Aggl
25135-5	Suberate/Creat Ur-sRto
24443-4	Suberylgly/Creat Ur-sRto
25136-3	Succinate/Creat Ur-sRto
38912-2	Succinylacetone Amn-sCnc
25137-1	Succinylacetone/Creat Ur-sRto
11201-1	Succinylcholine IgE Qn
16039-0	Succinylcholine IgE RAST Ql
11019-7	Sudan Black B Stn Bld/Mar
7147-2	Sugar Beet IgE Qn
53258-0	Sugar Beet IgE RAST Ql
24165-3	Sugar Beet Seed IgE Qn
15574-7	Sugar Beet Seed IgE RAST Ql
41717-0	Sulbactam Islt Grad strip
41716-2	Sulbactam Islt KB
41718-8	Sulbactam Islt MIC
41739-4	Sulbactam Susc Islt
17663-6	sulfADIAZINE IgE Qn
7050-8	sulfADIAZINE Islt Grad strip
465-5	sulfADIAZINE Islt KB
464-8	sulfADIAZINE Islt MIC
463-0	sulfADIAZINE Islt MLC
18984-5	sulfADIAZINE Susc Islt
466-3	sulfADIAZINE Titr SBT
87799-3	Sulfadimethoxine Islt MIC
87803-3	Sulfadimethoxine Susc Islt
11577-4	Sulfamethoxazole Islt Grad strip
469-7	Sulfamethoxazole Islt KB
468-9	Sulfamethoxazole Islt MIC
467-1	Sulfamethoxazole Islt MLC
10342-4	Sulfamethoxazole SerPl-mCnc
39772-9	Sulfamethoxazole SerPl-sCnc
18985-2	Sulfamethoxazole Susc Islt
470-5	Sulfamethoxazole Titr SBT
12920-5	Sulfate 24h Ur-mCnc
26888-8	Sulfate 24h Ur-sCnc
26889-6	Sulfate 24h Ur-sRate
2975-1	Sulfate Ur-mCnc
87796-9	Sulfathiazole Islt MIC
87797-7	Sulfathiazole Susc Islt
34646-0	Sulfatides Ur Ql
25226-2	Sulfisoxaz 300 ug/mL Islt SlowMyco
11578-2	Sulfisoxaz Islt Grad strip
473-9	Sulfisoxaz Islt KB
472-1	Sulfisoxaz Islt MIC
471-3	Sulfisoxaz Islt MLC
18986-0	Sulfisoxaz Susc Islt
474-7	Sulfisoxaz Titr SBT
33876-4	Sulfocysteine/Creat Ur-sRto
54336-3	Sulfocysteine CSF-sCnc
54337-1	Sulfocysteine DBS-sCnc
47939-4	Sulfocysteine SerPl-sCnc
53118-6	Sulfonamide cry #/area UrnS HPF
5812-3	Sulfonamide cry UrnS Ql Micro
35842-4	Sulfonamide Islt Grad strip
477-0	Sulfonamide Islt KB
476-2	Sulfonamide Islt MIC
475-4	Sulfonamide Islt MLC
18987-8	Sulfonamide Susc Islt
478-8	Sulfonamide Titr Islt SBT
55291-9	Sulopenem Islt KB
55290-1	Sulopenem Islt MIC
35117-1	Sulpiride SerPl-mCnc
34133-9	Summary of episode note
7726-3	Sunflower Poln IgE Qn
16041-6	Sunflower Poln IgE RAST Ql
6258-8	Sunflower Seed IgE Qn
16042-4	Sunflower Seed IgE RAST Ql
21547-5	Sunflower Seed IgG RAST Ql
19156-9	Susc Meth Spec
49916-0	Sweet gum IgE/IgE total %
6260-4	Sweet gum IgE Qn
15761-0	Sweet gum IgE RAST Ql
57987-0	Sweet potato IgE/IgE total %
7627-3	Sweet potato IgE Qn
15958-2	Sweet potato IgE RAST Ql
56397-3	Sweet potato IgG4-mCnc
7628-1	Sweet potato IgG Qn
21548-3	Sweet potato IgG RAST Ql
6262-0	Swine Epith IgE Qn
16043-2	Swine Epith IgE RAST Ql
7410-4	Swine Epith IgG Qn
19759-0	Swine Serum Alb IgE Qn
25532-3	Swine Serum Alb IgE RAST Ql
10952-0	Swine Urine Prot IgE Qn
16044-0	Swine Urine Prot IgE RAST Ql
7728-9	Swordfish IgE Qn
16045-7	Swordfish IgE RAST Ql
56466-6	Swordfish IgG4-mCnc
6261-2	Sw Vernal grass IgE Qn
15755-2	Sw Vernal grass IgE RAST Ql
75325-1	Symptom
21783-6	t(12;22)(ATF1,EWSR1) NFr Bld/T
5396-7	T3 Ab Ser-aCnc
43172-6	T3 Ab Ser Ql
40295-8	T3Free 2h p chal SerPl-sCnc
29239-1	T3Free SerPl Dialy-mCnc
83127-1	T3Free SerPl IA-mCnc
83126-3	T3Free SerPl IA-sCnc
3051-0	T3Free SerPl-mCnc
14928-6	T3Free SerPl-sCnc
25808-7	T3Free sp6 p chal SerPl-sCnc
14929-4	T3Reverse SerPl-sCnc
3053-6	T3 SerPl-mCnc
14930-2	T3 SerPl-sCnc
47191-2	T3 sp2 p chal SerPl-sCnc
12955-1	T3 sp4 p chal SerPl-mCnc
12956-9	T3 sp5 p chal SerPl-mCnc
9580-2	T4 Ab Ser-aCnc
38356-2	T4 Ab Ser Ql
3021-3	T4BG SerPl-mCnc
27980-2	T4BG SerPl-sCnc
27989-3	T4 Free 1h p chal SerPl-aCnc
53349-7	T4 Free DBS-mCnc
6892-4	T4 Free SerPl Dialy-mCnc
70217-5	T4 Free SerPl Dialy-sCnc
83122-2	T4 Free SerPl IA-mCnc
83121-4	T4 Free SerPl IA-sCnc
3024-7	T4 Free SerPl-mCnc
14920-3	T4 Free SerPl-sCnc
25792-3	T4 Free sp3 p chal SerPl-sCnc
25793-1	T4 Free sp4 p chal SerPl-sCnc
25794-9	T4 Free sp5 p chal SerPl-sCnc
25798-0	T4 Free sp9 p chal SerPl-sCnc
3026-2	T4 SerPl-mCnc
14921-1	T4 SerPl-sCnc
14016-0	T4 TBG Bnd SerPl-mCnc
92727-7	Tacrolimus Bld-AUC
74096-9	Tacrolimus Bld IA-mCnc
76494-4	Tacrolimus Bld IA-sCnc
74097-7	Tacrolimus Bld LC/MS/MS-mCnc
11253-2	Tacrolimus Bld-mCnc
32594-4	Tacrolimus Dose
32721-3	Tacrolimus SerPl-mCnc
95666-4	TAHV IgG Spec Ql IA
95681-3	TAHV IgM Spec Ql IA
95643-3	TAHV NAb Titr Spec Nt
97927-8	TAHV RNA Spec Ql NAA+probe
481-2	Talampicillin Islt KB
480-4	Talampicillin Islt MIC
479-6	Talampicillin Islt MLC
18988-6	Talampicillin Susc Islt
482-0	Talampicillin Titr SBT
10381-2	Targets Bld Ql Smear
11202-9	Tarragon IgE Qn
16049-9	Tarragon IgE RAST Ql
14182-0	TAT Ag PPP IA-mCnc
30160-6	Tau Prot CSF-mCnc
32559-7	Tau Prot Ser-mCnc
9324-5	Taurine 24h Ur-sCnc
25533-1	Taurine 24h Ur-sRate
27310-2	Taurine Amn-sCnc
56985-5	Taurine/Creat 24h Ur-Rto
25985-3	Taurine/Creat 24h Ur-sRto
28595-7	Taurine/Creat Ur-Rto
25138-9	Taurine/Creat Ur-sRto
2979-3	Taurine CSF-mCnc
26614-8	Taurine CSF-sCnc
32271-9	Taurine Fld-sCnc
2980-1	Taurine SerPl Ql
20657-3	Taurine SerPl-sCnc
30563-1	Taurine Ur-sCnc
41720-4	Tazobactam Islt Grad strip
41719-6	Tazobactam Islt KB
41721-2	Tazobactam Islt MIC
41740-2	Tazobactam Susc Islt
26061-2	TBEV Ab Titr Ser
26058-8	TBEV Ab Titr Ser CF
69927-2	TBEV IgG CSF Ql IA
69928-0	TBEV IgG Index Ser+CSF IA-aCnc
26062-0	TBEV IgG Ser-aCnc
26059-6	TBEV IgG Ser IA-aCnc
69926-4	TBEV IgG Ser Ql IA
69924-9	TBEV IgM CSF Ql IA
69925-6	TBEV IgM Index Ser+CSF IA-aCnc
26063-8	TBEV IgM Ser-aCnc
26060-4	TBEV IgM Ser IA-aCnc
69923-1	TBEV IgM Ser Ql IA
86519-6	TBEV RNA Ser Ql NAA+probe
5397-5	T brucei Ab Ser-aCnc
34383-0	T brucei Ab Titr Ser IF
41428-4	T brucei rhodes Ab Titr Ser IF
17736-0	TCA Bld-mCnc
26770-8	TCA/Creat Ur
13274-6	T canis Ab CSF-aCnc
17715-4	T canis Ab CSF IA-aCnc
8038-2	T canis Ab Ser-aCnc
5386-8	T canis Ab Ser IA-aCnc
41425-0	T canis Ab Titr Spec IA
13276-1	T canis IgA Ser-aCnc
24028-3	T canis IgA Ser Ql
53585-6	T canis IgE Ser-aCnc
22575-5	T canis IgG Ser-aCnc
9718-8	T canis IgG Ser IA-aCnc
24029-1	T canis IgG Ser Ql
40674-4	T canis IgG Ser Ql IA
9719-6	T canis IgM Ser IA-aCnc
13898-2	TCA SerPl-mCnc
3041-1	TCA Ur-mCnc
32860-9	TCR A-B Cells NFr Spec
57320-4	T cruzi Ab SerPl Ql IA
25813-7	T cruzi Ab Titr Ser IF
49801-4	T cruzi DNA Bld Ql NAA+probe
31691-9	T cruzi IgG Spec-aCnc
59393-9	T cruzi IgG Titr Ser IF
13290-2	T cruzi IgM Ser-aCnc
15397-3	T cruzi IgM Titr Ser
30105-1	T cruzi IgM Titr Spec
30116-8	TdT Cells NFr CSF IP Stn
42620-5	TdT Cells NFr Mar
38435-4	TdT Cells NFr Spec
38516-1	TdT Cells NFr Spec IA
30117-6	TdT Cells NFr Spec IP Stn
52998-2	TdT Cells NFr Tiss FC
6264-6	Tea IgE Qn
16050-7	Tea IgE RAST Ql
56401-3	Tea IgG4-mCnc
49723-0	Tea IgG-mCnc
73631-4	Tedizolid Islt KB
73608-2	Tedizolid Islt MIC
73586-0	Tedizolid Susc Islt
4435-4	Teicoplanin Dose
7051-6	Teicoplanin Islt Grad strip
485-3	Teicoplanin Islt KB
484-6	Teicoplanin Islt MIC
483-8	Teicoplanin Islt MLC
34378-0	Teicoplanin Peak SerPl-mCnc
25534-9	Teicoplanin Peak SerPl-sCnc
4043-6	Teicoplanin SerPl-mCnc
18989-4	Teicoplanin Susc Islt
486-1	Teicoplanin Titr SBT
34379-8	Teicoplanin Trough SerPl-mCnc
25535-6	Teicoplanin Trough SerPl-sCnc
85051-1	Telavancin Islt Grad strip
73630-6	Telavancin Islt KB
72894-9	Telavancin Islt MIC
88886-7	Telavancin Susc Islt
41722-0	Telithromycin Islt Grad strip
35843-2	Telithromycin Islt KB
35844-0	Telithromycin Islt MIC
35845-7	Telithromycin Susc Islt
489-5	Temafloxacin Islt KB
488-7	Temafloxacin Islt MIC
487-9	Temafloxacin Islt MLC
18990-2	Temafloxacin Susc Islt
490-3	Temafloxacin Titr SBT
54190-4	Temocillin Islt Grad strip
493-7	Temocillin Islt KB
492-9	Temocillin Islt MIC
491-1	Temocillin Islt MLC
18991-0	Temocillin Susc Islt
494-5	Temocillin Titr SBT
41396-3	Tenofovir Islt Genotyp
38374-5	Tenofovir SerPl-mCnc
23514-3	T equiperdum Ab Ser Ql ID
23513-5	T equiperdum Ab Ser Ql IF
23517-6	T equiperdum Ab Titr Ser
23510-1	T equiperdum Ab Titr Ser CF
10720-1	Terbinafine Islt MIC
47941-0	Testost 1h p ACTH SerPl-mCnc
12922-1	Testost 1h p chal SerPl-mCnc
25986-1	Testost 24h Ur-sCnc
15095-3	Testost 24h Ur-sRate
26827-6	Testost/Creat 24h Ur
13486-6	Testost/Creat Ur
6891-6	Testosterone.free+WB MFr SerPl
51005-7	Testosterone.free+WB SerPl HS-mCnc
2990-0	Testosterone.free+WB SerPl-mCnc
41018-3	Testosterone.free+WB SerPl-sCnc
96559-0	Testost Free SerPl Calc-sCnc
49042-5	Testost Free SerPl DL<=1.0 ng/dL-mCnc
70240-7	Testost Free SerPl DL<= 3.47 pmol/L-sCnc
2991-8	Testost Free SerPl-mCnc
25987-9	Testost Free SerPl RIA-sCnc
14914-6	Testost Free SerPl-sCnc
49041-7	Testost SerPl DL<=1.0 ng/dL-mCnc
70239-9	Testost SerPl DL<= 3.47 pmol/L-sCnc
83116-4	Testost SerPl IA-mCnc
83115-6	Testost SerPl IA-sCnc
2986-8	Testost SerPl-mCnc
14913-8	Testost SerPl-sCnc
2988-4	Testost Ur-mCnc
2987-6	Testost Ur Ql
15094-6	Testost Ur-sCnc
62260-5	tetK+tetM Islt/Spm Ql
7052-4	Tetracycline Islt Grad strip
497-8	Tetracycline Islt KB
496-0	Tetracycline Islt MIC
495-2	Tetracycline Islt MLC
18993-6	Tetracycline Susc Islt
498-6	Tetracycline Titr SBT
10932-2	Tetramin IgE Qn
16051-5	Tetramin IgE RAST Ql
23521-8	T evansi Ab Ser-aCnc
23524-2	T evansi Ab Ser IA-aCnc
23522-6	T evansi Ab Ser Ql
13287-8	T gondii Ab CSF-aCnc
49109-2	T gondii Ab CSF IA-aCnc
11598-0	T gondii Ab Ser-aCnc
20464-4	T gondii Ab Ser-Imp
87361-2	T gondii Ab SerPl IA
22577-1	T gondii Ab Ser Ql
23485-6	T gondii Ab Ser Ql Aggl
5387-6	T gondii Ab Ser Ql Dye Test
23486-4	T gondii Ab Ser Ql LA
14923-7	T gondii Ab Spec-aCnc
42949-8	T gondii Ab Titr Ser
23784-2	T gondii Ab Titr Ser HA
41124-9	T gondii AC Ab Ser-aCnc
35305-2	T gondii AC Ab Ser Aggl-aCnc
86737-4	T gondii Ag Tiss Ql ImStn
90301-3	T gondii Amn Ql Cult
89599-5	T gondii CSF Ql Cult
53611-0	T gondii CSF Ql IF
49444-3	T gondii DNA # Amn NAA+probe
27999-2	T gondii DNA Amn Ql NAA+probe
49445-0	T gondii DNA # BAL NAA+probe
87993-2	T gondii DNA BldCo Ql NAA+probe
49447-6	T gondii DNA # Bld NAA+probe
16279-2	T gondii DNA Bld Ql NAA+probe
62465-0	T gondii DNA # CSF NAA+probe
42626-2	T gondii DNA CSF Ql NAA+probe
10725-0	T gondii DNA Fld Probe amp-aCnc
57441-8	T gondii DNA Fld Ql NAA+probe
49446-8	T gondii DNA # Mar NAA+probe
87989-0	T gondii DNA Mar Ql NAA+probe
88164-9	T gondii DNA Ocflu Ql NAA+probe
87983-3	T gondii DNA Placenta Ql NAA+probe
